0,0,6662,15227.0,0.532722906034224
1,1,6204,11418.0,0.4237588652482269
2,2,5083,9063.0,0.13791068266771592
3,3,5860,24509.0,0.42986348122866896
4,4,983,2344.0,0.08850457782299084
5,5,1375,3161.0,0.05090909090909091
6,6,185,238.0,0.9405405405405406
7,0,16601,4593.4285714301495,0.6119510872838986
8,1,11422,4238.000000002225,0.5392225529679566
9,2,19269,3296.428571429964,0.20208625252997042
10,3,34150,6132.714285713064,0.27642752562225475
11,4,2776,986.4285714285023,0.1909221902017291
12,5,13434,2776.8571428578266,0.7715497990174185
13,6,1857,847.1428571428197,0.6790522347872914
14,0,24824,4325.357142854242,0.7602723171124718
15,1,38166,4308.6428571399865,0.5642980663417702
16,2,10388,2907.8571428568202,0.6058914131690412
17,3,15949,4889.214285710359,0.6589127845005956
18,4,7298,1077.214285714203,0.4546451082488353
19,5,31552,3230.3571428562336,0.7007796653144016
20,6,4380,1597.4285714291984,0.44680365296803654
21,0,52248,3791.1904761979736,0.5528632674934926
22,1,40414,4035.7619047705143,0.6906270104419261
23,2,39512,2862.6666666699416,0.3592326381858676
24,3,72493,4817.571428583593,0.444663622694605
25,4,14972,1364.7619047616304,0.32881378573336895
26,5,50060,3928.285714293835,0.6686975629244906
27,6,13989,1829.047619047239,0.22717849739080706
28,0,48855,3849.4285714240527,0.6309487258213079
29,1,59216,4114.321428566661,0.607386517157525
30,2,32148,3294.678571425062,0.6525133756376758
31,3,16124,5016.35714286222,0.2582485735549491
32,4,15535,1963.2499999989122,0.47653685226906983
33,5,134913,4982.321428576134,0.5882531705617694
34,6,11416,2832.5714285687595,0.6256131744919411
35,0,71753,3828.885714290122,0.4423787158725071
36,1,131716,4080.342857147608,0.599919523823985
37,2,47024,3842.0571428615685,0.7979329703980946
38,3,82688,4242.457142859784,0.8288627128482973
39,4,80368,3053.5142857176356,0.5373034043400359
40,5,71215,4263.171428573768,0.24237871234992628
41,6,46402,3974.742857147464,0.24794189905607517
